Book_No,Title,Sub_Title,Author,Translator,Class_3,Class_2,Class_1,Publisher,Year_1st_Pub,Year_This_Ed,Place,Edition_No,Pages,Keywords,ISBN,Language,Synopsis,Price,Notes,Title_XRef,Author_XRef,Medium,Size,Status,Check,Subject,
3719,Auspicious Signs,Sangharakshita in Seminar,Sangharakshita,,,AUS,SAN,Windhorse Publications,1979,1985,Glasgow,,79,,,,,,,,,Book,,04/03/2005,,,
3720,Auspicious Signs,Sangharakshita in Seminar,Sangharakshita,,,AUS,SAN,Windhorse Publications,1979,1985,Glasgow,,79,,,,,,,,,Book,,04/03/2005,,,
3895,Awakening of the Heart,,Sangharakshita,,P,AWA,SAN,Privately Printed,1972,,London,,11,,,,,,,,,Booklet,,11/04/2005,,,
3896,Awakening of the Heart,,Sangharakshita,,P,AWA,SAN,Privately Printed,1972,,London,,11,,,,,,,,,Booklet,,11/04/2005,,,
M3894,Awakening of the Heart,,Sangharakshita,,P,AWA,SAN,Privately Printed,1972,,London,,11,,,,,,,,,Booklet,,11/04/2005,,,
5045,Beating the Drum,Mahabodhi Editorials,Sangharakshita,,,BEA,SAN,Ibis,,2012,Ledbury,1st,282,,978-1-291-10922-1,English,,,,,,,,,,Editorials,
5046,Beating the Drum,Mahabodhi Editorials,Sangharakshita,,,BEA,SAN,Ibis,,2012,Ledbury,1st,282,,978-1-291-10922-1,English,,,,,,,,,,Editorials,
5047,Beating the Drum,Mahabodhi Editorials,Sangharakshita,,,BEA,SAN,Ibis,,2012,Ledbury,1st,282,,978-1-291-10922-1,English,,,,,,,,,,Editorials,
3897,Between the Twin Sala Trees,,Sangharakshita,,P,BET,SAN,Dhammamegha,,,Pune,,18,,,,,,,,,Booklet,,11/04/2005,,,
2756,Bird's Eye View of Indian Buddhism (A),Dhammamegha No 41 & 42 (double issue),Sangharakshita,,,BIR,SAN,Sihanad Publications,1990,,Pune,,48,,,English,,2.99,,,,Booklet,,,,,
3898,Bird's Eye View of Indian Buddhism (A),,Sangharakshita,,,BIR,SAN,Dhammamegha,1987,,Pune,,36,,,,,,,,,Booklet,,11/04/2005,,,
3899,Bird's Eye View of Indian Buddhism (A),,Sangharakshita,,,BIR,SAN,Dhammamegha,1987,,Pune,,36,,,,,,,,,Booklet,,11/04/2005,,,
3900,Blueprint for a New World (A),,Sangharakshita,,P,BLU,SAN,Dhammamegha,1996,,Pune,,15,,,,,,,,,Booklet,,11/04/2005,,,
1302,Bodhisattva (The),Evolution and Self-Transcendence,Sangharakshita,,P,BOD,SAN,Windhorse Publications,1983,1986,Glasgow,2nd,24,,,English,Talk given to the Wrekin Trust 1983,1.5,,,,Book,,,,,
3808,Bodhisattva (The),Evolution and Self-Transcendence,Sangharakshita,,P,BOD,SAN,Windhorse Publications,1983,,Glasgow,,24,,,,,,,,,Booklet,,15/03/2005,,,
3809,Bodhisattva (The),Evolution and Self-Transcendence,Sangharakshita,,P,BOD,SAN,Windhorse Publications,1983,,Glasgow,,24,,,,,,,,,Booklet,,15/03/2005,,,
M4589,Bodhisattva (The),Evolution and Self-Transcendence,Sangharakshita,,P,BOD,SAN,Windhorse,1983,1986,Glasgow,2nd,,,none,,,,,,,Booklet,,,,,
3972,Bodhisattva Ideal (The),Wisdom and compassion in Buddhism,Sangharakshita,,,BOD,SAN,Windhorse Publications,1999,,Birmingham,,245,,1899579206,,,,,,,Book,,03/05/2005,,,
3973,Bodhisattva Ideal (The),Wisdom and compassion in Buddhism,Sangharakshita,,,BOD,SAN,Windhorse Publications,1999,,Birmingham,,245,,1899579206,,,,,,,Book,,03/05/2005,,,
3974,Bodhisattva Ideal (The),Wisdom and compassion in Buddhism,Sangharakshita,,,BOD,SAN,Windhorse Publications,1999,,Birmingham,,245,,1899579206,,,,,,,Book,,03/05/2005,,,
4567,Buddhism in One Word ,Talk at the opening of Bhaja Retreat Centre on 11th December 1983,Sangharakashita,,P,BUD,SAN,Dhammamegha,1988,1988,Pune,1st,,,none,,,,,,,Booklet,,,,,
5109,Buddhism in One Word ,Talk at the opening of Bhaja Retreat Centre on 11th December 1983,Sangharakashita,,P,BUD,SAN,Dhammamegha,1988,1988,Pune,1st,,,none,,,,,,,Booklet,,,,,
5110,Buddhism in One Word ,Talk at the opening of Bhaja Retreat Centre on 11th December 1983,Sangharakashita,,P,BUD,SAN,Dhammamegha,1988,1988,Pune,1st,,,none,,,,,,,Booklet,,,,,
2649,Buddhism and Art,,Sangharakshita,,P,BUD,SAN,Triratana Grantha Mala,,,Pune,1st,48,Religion_of_Art,,English,Reprinting of one of the essays from the 'Religion of Art' for a TBMSG Magazine.,,,,,Book,,,,,
3901,Buddhism and Art,,Sangharakshita,,P,BUD,SAN,Maha Bodhi Society of India,1957,,Kalimpong,,40,,,,,,,,,Booklet,,11/04/2005,,,
3902,Buddhism and Art,,Sangharakshita,,P,BUD,SAN,Maha Bodhi Society of India,1957,,Kalimpong,,40,,,,,,,,,Booklet,,11/04/2005,,,
3903,Buddhism and Art,,Sangharakshita,,P,BUD,SAN,Dhammamegha,1957,1982,Pune,,45,,,,,,,,,Booklet,,11/04/2005,,,
5104,Buddhism and Art,,Sangharakshita,,P,BUD,SAN,Dhammamegha,1957,1982,Pune,,45,,,,,,,,,Booklet,,11/04/2005,,,
3812,Buddhism and Blasphemy,Buddhist Reflections on the 1977 Blasphemy Trial,Sangharakshita,,P,BUD,SAN,Windhorse Publications,1978,1989,Glasgow,,24,,904766071,,,,,,,Booklet,,15/03/2005,,,
3813,Buddhism and Blasphemy,Buddhist Reflections on the 1977 Blasphemy Trial,Sangharakshita,,P,BUD,SAN,Windhorse Publications,1978,1989,Glasgow,,24,,904766071,,,,,,,Booklet,,15/03/2005,,,
3814,Buddhism and Blasphemy,Buddhist Reflections on the 1977 Blasphemy Trial,Sangharakshita,,P,BUD,SAN,Windhorse Publications,1978,1989,Glasgow,,24,,904766071,,,,,,,Booklet,,15/03/2005,,,
4796,Buddhism and Education,,Sangharakshita,,P,BUD,SAN,Dhammamegha Triratna Grantha Mala,1985,,Pune,,,,,,,,,,,Booklet,,,,,
5105,Buddhism and Education,,Sangharakshita,,P,BUD,SAN,Dhammamegha Triratna Grantha Mala,1985,,Pune,,,,,,,,,,,Booklet,,,,,
5106,Buddhism and Education,,Sangharakshita,,P,BUD,SAN,Dhammamegha Triratna Grantha Mala,1985,,Pune,,,,,,,,,,,Booklet,,,,,
3908,Buddhism and the Path of the Higher Evolution,,Sangharakshita,,P,BUD,SAN,Dhammamegha,1990,,Pune,,19,,,,,,,,,Booklet,,11/04/2005,,,
5107,Buddhism and the Path of the Higher Evolution,,Sangharakshita,,P,BUD,SAN,Dhammamegha,1990,,Pune,,19,,,,,,,,,Booklet,,11/04/2005,,,
5108,Buddhism and the Path of the Higher Evolution,,Sangharakshita,,P,BUD,SAN,Dhammamegha,1990,,Pune,,19,,,,,,,,,Booklet,,11/04/2005,,,
3816,Buddhism and the West,The Integration of Buddhism into Western Society,Sangharakshita,,P,BUD,SAN,Windhorse Publications,1992,,Glasgow,,20,,904766551,,,,,,,Booklet,,15/03/2005,,,
